 , raw code cost, mean, min, max, NORM code cost, mean NORM, min NORM, max NORM
SeqPredNN,468.21055977935947,0.8901341440672229,0.12391248234918995,0.9996052291948194,46024.42986029825,87.49891608421709,0.0,100.0
Koonin,3175.4000000000005,6.036882129277567,0.0,54.760000000000005,5798.758217677143,11.02425516668657,0.0,100.0
Higgs,32656.0,62.08365019011407,0.0,200.0,16328.0,31.041825095057035,0.0,100.0
Neutral,526.0,1.0,1.0,1.0,0,0,0,0
Amino acid,468.21055977935947,0.8901341440672229,0.12391248234918995,0.9996052291948194,46024.42986029825,87.49891608421709,0.0,100.0
SeqPredNN primordial,70.16198878746005,0.948134983614325,0.7894355431135466,0.9991952748971319,5598.6716312042,75.65772474600267,0.0,100.0
Koonin primordial,538.34,7.274864864864864,0.0,54.760000000000005,983.0898466033601,13.284997927072432,0.0,100.0
Higgs primordial,5680.0,76.75675675675676,0.0,169.0,3360.94674556213,45.41819926435311,0.0,100.0
Neutral primordial,74.0,1.0,1.0,1.0,0,0,0,0
Amino acid primordial,70.16198878746005,0.948134983614325,0.7894355431135466,0.9991952748971319,5598.6716312042,75.65772474600267,0.0,100.0
PAM250 primordial,-84.0,-1.135135135135135,-5.0,3.0,3575.0,48.310810810810814,0.0,100.0
