 , raw code cost, mean, min, max, NORM code cost, mean NORM, min NORM, max NORM
SeqPredNN,49.83865223224183,0.09475028941490841,0.015319256141731331,0.17466808016558127,26219.662277167365,49.847266686629915,0.0,100.0
Koonin,186.96350877192958,0.35544393302648253,0.0,6.7438596491228076,2772.351716961501,5.270630640611213,0.0,100.0
Higgs,2586.280701754385,4.91688346341138,0.0,29.64912280701754,8722.958579881657,16.583571444641933,0.0,100.0
Neutral,58.52631578947373,0.11126676005603361,0.017543859649122806,0.17543859649122806,31222.22222222232,59.35783692437685,0.0,100.0
Amino acid,468.21055977935947,0.8901341440672229,0.12391248234918995,0.9996052291948194,46024.42986029825,87.49891608421709,0.0,100.0
SeqPredNN primordial,5.495640707325645,0.07426541496386009,0.016187904924118878,0.17459684497680786,2713.0638848485223,36.663025470925966,0.0,100.0
Koonin primordial,23.04596491228069,0.3114319582740635,0.0,2.2815789473684207,1010.088427527874,13.649843615241538,0.0,100.0
Higgs primordial,349.5438596491228,4.723565670934092,0.0,14.82456140350877,2357.8698224852074,31.863105709259557,0.0,100.0
Neutral primordial,5.85964912280701,0.07918444760550024,0.017543859649122806,0.17543859649122806,2888.888888888887,39.03903903903904,0.0,100.0
Amino acid primordial,70.15018147032896,0.9479754252747158,0.7894355431135466,0.9983449993167428,5615.806719881275,75.88927999839562,0.0,100.0
PAM250 primordial,-7.403508771929824,-0.10004741583688952,-0.5263157894736842,0.3508771929824561,3596.0,48.5945945945946,0.0,100.0
